variable_name,type,n_missing,n_non_missing,completeness_pct
Status,character,0,1563,100
Progress,character,0,1563,100
Duration (in seconds),character,0,1563,100
Finished,character,0,1563,100
DistributionChannel,character,0,1563,100
UserLanguage,character,0,1563,100
Q1.1,character,0,1563,100
respondent_id,character,0,1563,100
Q_RecaptchaScore,character,13,1550,99.2
Q2.1,character,200,1363,87.2
Q2.2,character,208,1355,86.7
Q13.1,character,816,747,47.8
ORGANIZATION_TYPE,character,881,682,43.6
Q12.4,character,1043,520,33.3
Q12.5,character,1052,511,32.7
Q12.13_1,character,1052,511,32.7
Q12.2_1,character,1053,510,32.6
Q12.2_4,character,1054,509,32.6
Q12.10,character,1053,510,32.6
Q12.2_2,character,1055,508,32.5
Q12.2_6,character,1055,508,32.5
Q12.2_7,character,1055,508,32.5
Q12.13_3,character,1055,508,32.5
Q12.13_6,character,1055,508,32.5
Q12.2_5,character,1056,507,32.4
Q12.9,character,1056,507,32.4
Q12.13_2,character,1056,507,32.4
Q12.13_4,character,1056,507,32.4
Q12.13_5,character,1056,507,32.4
Q12.13_7,character,1057,506,32.4
Q12.13_8,character,1058,505,32.3
Q12.13_9,character,1058,505,32.3
Q12.13_10,character,1058,505,32.3
Q12.2_3,character,1060,503,32.2
Q12.1_10,character,1078,485,31
Q12.1_11,character,1078,485,31
Q12.1_12,character,1078,485,31
Q12.1_13,character,1078,485,31
Q12.1_14,character,1078,485,31
Q12.1_15,character,1078,485,31
Q12.1_16,character,1078,485,31
Q12.3_8,character,1079,484,31
Q12.3_9,character,1079,484,31
Q12.3_10,character,1079,484,31
Q12.3_11,character,1079,484,31
Q12.3_12,character,1079,484,31
Q12.3_13,character,1079,484,31
Q12.3_14,character,1079,484,31
Q12.7_4,character,1085,478,30.6
Q12.7_7,character,1091,472,30.2
Q12.8_1,character,1092,471,30.1
Survey_Type,character,1103,460,29.4
Q12.7_6,character,1107,456,29.2
Q11.1,character,1113,450,28.8
Q12.7_8,character,1134,429,27.4
Q12.7_5,character,1138,425,27.2
Q12.7_9,character,1148,415,26.6
Q12.7_10,character,1149,414,26.5
Q12.12 - Actionability,character,1165,398,25.5
Q12.12 - Effort,character,1165,398,25.5
Q12.12 - Effort Numeric,character,1165,398,25.5
Q12.12 - Emotion Intensity,character,1165,398,25.5
Q12.12 - Emotion,character,1165,398,25.5
Q12.12 - Sentiment Polarity,character,1165,398,25.5
Q12.12 - Sentiment Score,character,1165,398,25.5
Q12.12 - Sentiment,character,1165,398,25.5
Q12.12 - Topics,character,1165,398,25.5
Q12.12,character,1166,397,25.4
Q12.11,character,1195,368,23.5
Q12.11 - Actionability,character,1195,368,23.5
Q12.11 - Effort,character,1195,368,23.5
Q12.11 - Effort Numeric,character,1195,368,23.5
Q12.11 - Emotion Intensity,character,1195,368,23.5
Q12.11 - Emotion,character,1195,368,23.5
Q12.11 - Sentiment Polarity,character,1195,368,23.5
Q12.11 - Sentiment Score,character,1195,368,23.5
Q12.11 - Sentiment,character,1195,368,23.5
Q12.11 - Topics,character,1195,368,23.5
Q2.1_12_TEXT,character,1230,333,21.3
Q2.1_12_TEXT - Actionability,character,1230,333,21.3
Q2.1_12_TEXT - Effort,character,1230,333,21.3
Q2.1_12_TEXT - Effort Numeric,character,1230,333,21.3
Q2.1_12_TEXT - Emotion Intensity,character,1230,333,21.3
Q2.1_12_TEXT - Emotion,character,1230,333,21.3
Q2.1_12_TEXT - Sentiment Polarity,character,1230,333,21.3
Q2.1_12_TEXT - Sentiment Score,character,1230,333,21.3
Q2.1_12_TEXT - Sentiment,character,1230,333,21.3
Q2.1_12_TEXT - Topics,character,1230,333,21.3
hq_country,character,1248,315,20.2
Q5.2_2,character,1363,200,12.8
Q5.2_5,character,1363,200,12.8
Q5.2_6,character,1363,200,12.8
Q5.4,character,1363,200,12.8
Q5.10,character,1363,200,12.8
Q5.11,character,1363,200,12.8
Q5.2_1,character,1364,199,12.7
Q5.2_7,character,1364,199,12.7
Q5.2_8,character,1365,198,12.7
Q5.2_3,character,1367,196,12.5
Q5.2_4,character,1368,195,12.5
Q5.6,character,1368,195,12.5
Q5.12_2,character,1370,193,12.3
Q5.1,character,1373,190,12.2
Q5.12_1,character,1372,191,12.2
Q5.12_4,character,1373,190,12.2
Q5.12_5,character,1372,191,12.2
Q5.12_3,character,1374,189,12.1
Q5.9_4,character,1378,185,11.8
Q5.3_4,character,1380,183,11.7
Q5.8_6,character,1380,183,11.7
Q5.8_7,character,1380,183,11.7
Q5.8_8,character,1380,183,11.7
Q5.8_9,character,1380,183,11.7
Q5.8_10,character,1380,183,11.7
Q5.8_11,character,1380,183,11.7
Q5.8_12,character,1380,183,11.7
Q5.8_13,character,1380,183,11.7
Q5.8_14,character,1380,183,11.7
Q5.8_15,character,1380,183,11.7
Q5.7,character,1402,161,10.3
Q5.7 - Actionability,character,1402,161,10.3
Q5.7 - Effort,character,1402,161,10.3
Q5.7 - Effort Numeric,character,1402,161,10.3
Q5.7 - Emotion Intensity,character,1402,161,10.3
Q5.7 - Emotion,character,1402,161,10.3
Q5.7 - Sentiment Polarity,character,1402,161,10.3
Q5.7 - Sentiment Score,character,1402,161,10.3
Q5.7 - Sentiment,character,1402,161,10.3
Q5.7 - Topics,character,1402,161,10.3
Q5.5,character,1407,156,10
Q5.5 - Actionability,character,1407,156,10
Q5.5 - Effort,character,1407,156,10
Q5.5 - Effort Numeric,character,1407,156,10
Q5.5 - Emotion Intensity,character,1407,156,10
Q5.5 - Emotion,character,1407,156,10
