respondent_id,role_raw,role_other,role_raw_norm,role_other_norm,needs_harmonization,preliminary_category,final_category_appendix_j
RESP_012b319a54,Other (please specify),Investment Bank,other please specify,investment bank,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_016ffc7ebb,Other (please specify),Investment bank,other please specify,investment bank,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_02a62f70db,Other (please specify),Consulting Company For Supporting Stakeholder To Structure Climate Projects Form Inception,other please specify,consulting company for supporting stakeholder to structure climate projects form inception,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_0343098ddc,Other (please specify),Technical Consulting Firm,other please specify,technical consulting firm,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_0350d33afa,Other (please specify),LLC,other please specify,llc,TRUE,Corporate Entities,Corporate Entities
RESP_03b90d4356,Other (please specify),investor Relations,other please specify,investor relations,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_05008e899e,Other (please specify),Real estate owner/operator,other please specify,real estate owner operator,TRUE,Government Funding Agency,Government Funding Agency
RESP_05c33fe05e,Other (please specify),Marketplace for securitized environmental projects,other please specify,marketplace for securitized environmental projects,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_05e663e76e,Other (please specify),"A venture builder, and VC fund manager in deep tech for climate tech",other please specify,a venture builder and vc fund manager in deep tech for climate tech,TRUE,Entrepreneur in Climate Technology,Entrepreneur in Climate Technology
RESP_05ff190fa6,Other (please specify),German PLC,other please specify,german plc,TRUE,Corporate Entities,Corporate Entities
RESP_0678be7d82,Other (please specify),Business owner,other please specify,business owner,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_06de37d3b9,Other (please specify),Attorney,other please specify,attorney,TRUE,Legal Services,Legal Services
RESP_0709b86e18,Other (please specify),CFO at an Energy Corporate,other please specify,cfo at an energy corporate,TRUE,Corporate Entities,Corporate Entities
RESP_076b4d2734,Other (please specify),Private company backed by PE,other please specify,private company backed by pe,TRUE,Corporate Entities,Corporate Entities
RESP_0883033364,Other (please specify),Capital formation advisor,other please specify,capital formation advisor,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_09cf9c39a1,Other (please specify),Manurfacturing,other please specify,manurfacturing,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_0a5467f060,Other (please specify),Translation agency,other please specify,translation agency,TRUE,Government Funding Agency,Government Funding Agency
RESP_0acbb3c82b,Other (please specify),Media,other please specify,media,TRUE,Media and Communication,Media and Communication
RESP_0aed1b8708,Other (please specify),Entrepreneur non climate tech,other please specify,entrepreneur non climate tech,TRUE,Entrepreneur in Climate Technology,Entrepreneur in Climate Technology
RESP_0cf2d76cf4,Other (please specify),Small Business Owner,other please specify,small business owner,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_0d4ba986a6,Other (please specify),Corporate,other please specify,corporate,TRUE,Corporate Entities,Corporate Entities
RESP_0d4f042763,Other (please specify),Solicitor,other please specify,solicitor,TRUE,Legal Services,Legal Services
RESP_0d5bd58aa3,Other (please specify),Industrial company owner,other please specify,industrial company owner,TRUE,Manufacturing and Industrial,Manufacturing and Industrial
RESP_0d8b0205f8,Other (please specify),Listed multi-national company,other please specify,listed multi national company,TRUE,Corporate Entities,Corporate Entities
RESP_0e4162ac00,Other (please specify),Member of governance structure of a power utlity,other please specify,member of governance structure of a power utlity,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_0e48d7e7bf,Other (please specify),Private Clean Energy Research Firm,other please specify,private clean energy research firm,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_10f3bee694,Other (please specify),Multilateral Development Bank,other please specify,multilateral development bank,TRUE,Government Funding Agency,Government Funding Agency
RESP_118a30fd0d,Other (please specify),Philanthropic Consulting,other please specify,philanthropic consulting,TRUE,Philanthropic Organization,Philanthropic Organization
RESP_119826f1fe,Other (please specify),food waste recycler,other please specify,food waste recycler,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_12d59881ff,Other (please specify),Energy firm,other please specify,energy firm,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_12de6abb48,Other (please specify),Privately held manufacturer,other please specify,privately held manufacturer,TRUE,Manufacturing and Industrial,Manufacturing and Industrial
RESP_12ebe1883f,Other (please specify),"Combination of VC, Family office, philanthropist and ESG investor",other please specify,combination of vc family office philanthropist and esg investor,TRUE,Venture Capital Firm,Venture Capital Firm
RESP_136705a24c,Other (please specify),Fintech start up,other please specify,fintech start up,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_15814af09b,Other (please specify),Industry BtoB,other please specify,industry btob,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_15cb31d503,Other (please specify),Law firm startup practice,other please specify,law firm startup practice,TRUE,Legal Services,Legal Services
RESP_163df22044,Other (please specify),CEO of a high energy consumption company (Steel forging) working for the wind power and other energy sectors,other please specify,ceo of a high energy consumption company steel forging working for the wind power and other energy sectors,TRUE,Entrepreneur in Climate Technology,Entrepreneur in Climate Technology
RESP_1737b5d71e,Other (please specify),Climate Adaptive Infrastructure Fund,other please specify,climate adaptive infrastructure fund,TRUE,Energy and Infrastructure,Energy and Infrastructure
RESP_175da5c7b1,Other (please specify),Corporate lawyer,other please specify,corporate lawyer,TRUE,Legal Services,Legal Services
RESP_17f0df293f,Other (please specify),Employee in a PE firm,other please specify,employee in a pe firm,TRUE,Private Equity Firm,Private Equity Firm
RESP_18e4ce6c0f,Other (please specify),Managing Director - SME,other please specify,managing director sme,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_1925c8c1eb,Other (please specify),Communications Consultancy,other please specify,communications consultancy,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_195b1a6c08,Other (please specify),advisory/institutional funding broker,other please specify,advisory institutional funding broker,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_197b24e3bb,Other (please specify),Impact Investor,other please specify,impact investor,TRUE,ESG Investor,ESG Investor
RESP_19a184499c,Other (please specify),Investment bank,other please specify,investment bank,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_1a3ac31d31,Other (please specify),Law Firm,other please specify,law firm,TRUE,Legal Services,Legal Services
RESP_1b2d4c2aca,Other (please specify),Climate entrepreneur,other please specify,climate entrepreneur,TRUE,Entrepreneur in Climate Technology,Entrepreneur in Climate Technology
RESP_1ba86e656e,Other (please specify),PV Solar & battery Supply & installation company,other please specify,pv solar battery supply installation company,TRUE,Corporate Entities,Corporate Entities
RESP_1be72a5cd8,Other (please specify),Private company,other please specify,private company,TRUE,Corporate Entities,Corporate Entities
RESP_1e25fdbfa4,Other (please specify),Sustainable Finance specialist,other please specify,sustainable finance specialist,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_1e2c3887c8,Other (please specify),Privately owned family business,other please specify,privately owned family business,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_1e979a7101,Other (please specify),CEO of a company owned by Private Equity,other please specify,ceo of a company owned by private equity,TRUE,Corporate Entities,Corporate Entities
RESP_20637b04bc,Other (please specify),Law firm,other please specify,law firm,TRUE,Legal Services,Legal Services
RESP_22cf28bda0,Other (please specify),law firm for tech clients,other please specify,law firm for tech clients,TRUE,Legal Services,Legal Services
RESP_22eeac6155,Other (please specify),Engineering SME,other please specify,engineering sme,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_22f5a85511,Other (please specify),Real Estate Developer,other please specify,real estate developer,TRUE,Government Funding Agency,Government Funding Agency
RESP_2388ad06b4,Other (please specify),Law firm,other please specify,law firm,TRUE,Legal Services,Legal Services
RESP_23a351f99c,Other (please specify),Attorney on natural resources and environmental issues,other please specify,attorney on natural resources and environmental issues,TRUE,Legal Services,Legal Services
RESP_247a1b1603,Other (please specify),M&A Advisor,other please specify,m a advisor,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_249fbc595e,Other (please specify),Venture Studio,other please specify,venture studio,TRUE,Miscellaneous and Individual Respondents,Business Consulting and Advisory
RESP_24a546a4ee,Other (please specify),venture capital firm + new venturing + building strategic value chains,other please specify,venture capital firm new venturing building strategic value chains,TRUE,Venture Capital Firm,Venture Capital Firm
RESP_267a44a2ab,Other (please specify),Law Firm,other please specify,law firm,TRUE,Legal Services,Legal Services
RESP_27680c100b,Other (please specify),Founder of an Indian law firm,other please specify,founder of an indian law firm,TRUE,Legal Services,Legal Services
RESP_2831526635,Other (please specify),Limited Company,other please specify,limited company,TRUE,Corporate Entities,Corporate Entities
RESP_2933707279,Other (please specify),Financial Infrastructure Provider,other please specify,financial infrastructure provider,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_293c492080,Other (please specify),Real Estate Developer,other please specify,real estate developer,TRUE,Government Funding Agency,Government Funding Agency
RESP_2b17f9f3ce,Other (please specify),Financial Research Analyst,other please specify,financial research analyst,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_2b41306f00,Other (please specify),Founder of an IT Company,other please specify,founder of an it company,TRUE,Corporate Entities,Corporate Entities
RESP_2bc79196ba,Other (please specify),corporate finance professional,other please specify,corporate finance professional,TRUE,Corporate Entities,Corporate Entities
RESP_2c4c341030,Other (please specify),BANK,other please specify,bank,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_2e182bb2d5,Other (please specify),Asset Owner,other please specify,asset owner,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_2e5c1c6b87,Other (please specify),Consultancy,other please specify,consultancy,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_2e5cf49f14,Other (please specify),Private Company executive,other please specify,private company executive,TRUE,Corporate Entities,Corporate Entities
RESP_2fdc079781,Other (please specify),Lawyer,other please specify,lawyer,TRUE,Legal Services,Legal Services
RESP_318a30605a,Other (please specify),Law Firm Partner for Capital Deals,other please specify,law firm partner for capital deals,TRUE,Legal Services,Legal Services
RESP_31951c858c,Other (please specify),PLC,other please specify,plc,TRUE,Corporate Entities,Corporate Entities
RESP_31b8698b00,Other (please specify),Multilateral Development Finance Institution,other please specify,multilateral development finance institution,TRUE,Government Funding Agency,Government Funding Agency
RESP_3203be6b03,Other (please specify),Corporate,other please specify,corporate,TRUE,Corporate Entities,Corporate Entities
RESP_345e56917e,Other (please specify),Lender to startup companies,other please specify,lender to startup companies,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_352fb655aa,Other (please specify),Airport Corporation,other please specify,airport corporation,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_35c1cba582,Other (please specify),Pension Fund,other please specify,pension fund,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_35e76efabd,Other (please specify),Engineering Constructor,other please specify,engineering constructor,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_361c9dd1d1,Other (please specify),alternative asset manager,other please specify,alternative asset manager,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_365c9c7654,Other (please specify),Insurance Company,other please specify,insurance company,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_37c180baba,Other (please specify),property services firm,other please specify,property services firm,TRUE,Real Estate and Property,Real Estate and Property
RESP_382cc1b28b,Other (please specify),Advocates and Solicitor Firm,other please specify,advocates and solicitor firm,TRUE,Legal Services,Legal Services
RESP_39ea09d8d3,Other (please specify),Lawyer,other please specify,lawyer,TRUE,Legal Services,Legal Services
RESP_3a3a46f95c,Other (please specify),cybersecurity researcher,other please specify,cybersecurity researcher,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_3ad060cf21,Other (please specify),Hedge Fund,other please specify,hedge fund,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_3b8c87946d,Other (please specify),Fund Manager,other please specify,fund manager,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_3df3a17b04,Other (please specify),City of London Adviser,other please specify,city of london adviser,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_3e6c851358,Other (please specify),Alternative Investment Firm,other please specify,alternative investment firm,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_3f3a982c44,Other (please specify),renewable energy project developer,other please specify,renewable energy project developer,TRUE,Energy and Infrastructure,Energy and Infrastructure
RESP_3fb41c371e,Other (please specify),Investment banking,other please specify,investment banking,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_41572d3127,Other (please specify),consultant,other please specify,consultant,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_43aaedd87a,Other (please specify),Manufacturing Company,other please specify,manufacturing company,TRUE,Manufacturing and Industrial,Manufacturing and Industrial
RESP_441bdf769d,Other (please specify),Interested Individual,other please specify,interested individual,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_4583d088a6,Other (please specify),Startup,other please specify,startup,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_462c3cc40d,Other (please specify),Business Consulting Firm,other please specify,business consulting firm,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_47bd33b78f,Other (please specify),bank,other please specify,bank,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_4a0d0f964c,Other (please specify),General Partner (Hedge Fund),other please specify,general partner hedge fund,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_4a31df6871,Other (please specify),Business man.,other please specify,business man,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_4a66d167d0,Other (please specify),International Business & Legal Law Firm,other please specify,international business legal law firm,TRUE,Legal Services,Legal Services
RESP_4aabe39a70,Other (please specify),Consultant,other please specify,consultant,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_4fc1dada7b,Other (please specify),NHS Foundation Trust,other please specify,nhs foundation trust,TRUE,Government Funding Agency,Government Funding Agency
RESP_5186ceaa41,Other (please specify),Energy sector banker,other please specify,energy sector banker,TRUE,Entrepreneur in Climate Technology,Entrepreneur in Climate Technology
RESP_5215fef740,Other (please specify),CHIEF,other please specify,chief,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_562e25e185,Other (please specify),energy service company,other please specify,energy service company,TRUE,Energy and Infrastructure,Energy and Infrastructure
RESP_5735ecd22b,Other (please specify),Lawyer,other please specify,lawyer,TRUE,Legal Services,Legal Services
RESP_590b50530b,Other (please specify),Data vendor,other please specify,data vendor,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_5d3e382ee5,Other (please specify),real estate adviser,other please specify,real estate adviser,TRUE,Government Funding Agency,Government Funding Agency
RESP_5e8dd45693,Other (please specify),Sovereign wealth fund,other please specify,sovereign wealth fund,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_5f948f70a2,Other (please specify),Clean tech company,other please specify,clean tech company,TRUE,Technology and Software,Technology and Software
RESP_601f111f47,Other (please specify),Lawfirm,other please specify,lawfirm,TRUE,Legal Services,Legal Services
RESP_6339d8e723,Other (please specify),Financial advisory boutique,other please specify,financial advisory boutique,TRUE,Investment and Financial Services,Investment and Financial Services
